#{"t_start": 1757679027.0682552, "env_id": "None"}
r,l,t
-40.567999,196,747.117719
-86.400171,56,747.478334
-72.555468,100,748.122081
-111.13233,57,748.511932
-118.251548,67,748.939257
-28.09867,185,769.927534
-149.825309,51,770.259823
-211.743026,37,770.504521
-125.424523,61,770.899877
-127.511195,72,771.33669
-128.385367,49,771.650298
-92.400602,55,772.045446
-283.267498,222,773.535109
-73.168625,67,774.002629
-101.992493,81,774.53798
-87.34738,68,774.987556
-69.831637,138,775.878086
-12.967988,181,777.064665
-132.850042,196,778.322098
-73.242571,65,778.734978
-119.043557,71,779.213742
-13.170889,233,780.646687
-53.512407,62,781.043954
122.139873,83,781.560933
-86.362761,78,782.044715
-96.947277,184,783.215832
-129.186576,71,783.667585
-118.401838,75,784.136947
-173.63823,584,787.857629
-95.904722,77,788.380963
-133.413798,116,789.154955
-415.332142,340,791.36092
-112.757652,58,791.733104
-104.057956,74,792.199897
138.097656,360,794.409425
-198.468883,152,795.368291
-146.066014,50,795.672273
-106.888019,159,796.662523
-148.091226,258,798.288509
-430.958746,572,817.601059
-134.781388,85,818.190789
-186.616444,23,818.344698
51.358166,275,820.122729
-64.646607,34,820.355817
-88.991759,45,820.642137
-67.375644,39,820.887273
-151.52748,120,821.698466
-2455.392275,2079,835.410374
-133.974111,41,835.688699
-133.384057,43,835.960723
-91.687327,65,836.370192
-173.217355,192,837.594982
-72.3872,180,838.800086
-114.24615,47,839.112412
-104.405711,55,839.439646
7.864493,208,840.757374
-55.570931,48,841.080015
-130.905313,63,841.517962
-103.153437,71,842.018801
-424.397935,254,843.630507
-81.335935,347,845.912816
-118.063649,53,846.239906
83.26662,103,846.913438
-106.124568,58,847.278108
-151.786098,85,847.843828
162.632972,168,848.922001
-39.993735,55,849.282413
40.736453,164,850.635934
-160.511126,56,851.023443
-196.180425,48,851.345942
-172.32063,35,851.589911
-68.482308,364,853.945948
-105.369506,49,854.287007
-129.915376,98,854.912618
-95.597708,244,856.516678
-196.860568,159,857.556039
-105.904147,60,857.927312
-165.624221,255,859.533027
-157.164573,120,860.318152
-76.851308,104,860.980552
39.747027,101,861.666151
-84.683782,37,861.925321
19.211805,101,862.573416
-107.418688,50,862.901299
-136.282344,257,864.604556
-59.911077,140,865.522768
-123.582456,45,865.815921
-76.131805,125,866.625831
-106.680841,65,867.101873
-351.17738,243,868.661637
-119.28783,59,869.029074
-101.969718,46,869.293205
-76.693415,170,870.345137
-81.532599,171,871.436877
-128.255569,87,871.995992
-299.756589,263,873.703532
-49.559183,108,874.415623
-136.164933,96,875.038406
-97.816003,67,875.46503
-31.203156,158,876.471873
-34.72036,175,877.598797
-103.85847,69,878.04986
-171.286806,59,878.438684
-62.737899,155,879.452219
20.516212,172,880.552395
-107.171244,60,880.936079
-72.842609,177,882.077108
-123.264695,50,882.398105
-27.333906,102,883.400914
-133.703553,78,883.952459
-159.365108,42,884.217042
-98.740091,72,884.678934
-320.786309,269,886.427993
-140.755889,61,886.825157
-85.741674,127,887.671412
5.850595,96,888.292565
-114.537122,71,888.773371
-123.562596,60,889.180537
-516.075151,298,891.079393
-102.765313,67,891.503654
-225.421961,348,893.711915
-170.589901,67,894.142124
-124.094421,82,894.65389
-182.233628,141,895.501896
-127.370593,242,896.934621
-94.739409,56,897.264728
-61.085458,129,898.022389
-70.916889,284,899.685341
-91.915252,56,900.018146
56.929298,112,900.72991
-97.731305,63,901.159134
-104.069521,55,901.53519
70.393937,268,903.154333
-94.419617,61,903.562241
-51.833629,113,904.265563
-364.631149,319,906.284448
-119.185395,46,906.561643
-72.22008,164,907.543211
-116.41987,64,907.93686
-109.871674,43,908.194385
-322.463868,350,910.273892
-63.972692,155,911.201663
-108.676645,71,911.67088
-186.345031,231,913.116949
85.954609,132,913.964076
-129.215961,45,914.243357
5.684138,62,915.476507
-137.282457,44,915.777122
-57.128304,71,916.242806
-97.361532,34,916.460261
-160.657495,40,916.700703
-145.229928,266,918.306292
-114.080559,39,918.537895
-119.997781,35,918.745045
-140.28147,40,918.990893
-249.425212,74,919.420383
-197.124475,265,920.995979
-140.006837,41,921.242959
-133.3526,33,921.450475
-131.913848,37,921.687872
-141.246739,54,922.021814
-156.763253,38,922.26046
-132.046747,39,922.481982
-124.936655,36,922.712613
-149.239835,58,923.05026
-176.914975,43,923.293635
-137.919684,36,923.517076
-118.345867,40,923.759788
-125.581305,39,923.985303
-180.806212,41,924.230294
-132.028635,44,924.487721
